id,name,x_coordinate,y_coordinate
0,Village_0,727.56,683.22
1,Village_1,308.72,277.08
2,Village_2,665.55,903.37
3,Village_3,368.78,275.75
4,Village_4,463.65,782.90
5,Village_5,919.33,436.49
6,Village_6,749.91,386.57
7,Village_7,177.38,594.35
8,Village_8,209.77,825.97
9,Village_9,172.22,587.43
10,Village_10,751.28,571.04
11,Village_11,580.02,752.51
12,Village_12,31.42,357.92
13,Village_13,817.80,417.69
14,Village_14,974.04,713.41
15,Village_15,480.57,291.66
16,Village_16,949.86,820.49
17,Village_17,636.64,369.12
18,Village_18,360.25,434.66
19,Village_19,457.32,472.69
20,Village_20,469.02,827.32
21,Village_21,151.03,833.87
22,Village_22,460.31,280.57
23,Village_23,195.96,179.27
24,Village_24,865.69,486.59
25,Village_25,420.97,632.87
26,Village_26,699.86,315.33
27,Village_27,571.62,371.01
28,Village_28,871.81,805.73
29,Village_29,616.21,374.36
30,Village_30,697.25,908.61
31,Village_31,196.15,809.12
32,Village_32,627.93,463.40
33,Village_33,305.58,539.91
34,Village_34,635.11,126.26
35,Village_35,497.33,27.31
36,Village_36,36.48,483.84
37,Village_37,655.05,395.77
38,Village_38,940.17,384.61
39,Village_39,646.23,770.47
40,Village_40,894.04,598.84
41,Village_41,976.03,77.09
42,Village_42,775.12,278.82
43,Village_43,899.21,373.84
44,Village_44,431.31,332.32
45,Village_45,315.15,442.74
46,Village_46,96.45,745.15
47,Village_47,170.86,805.39
48,Village_48,139.79,92.95
49,Village_49,27.03,548.33
50,Village_50,282.20,967.50
51,Village_51,904.50,343.94
52,Village_52,14.06,809.59
53,Village_53,521.49,835.16
54,Village_54,583.46,688.25
55,Village_55,556.38,115.75
56,Village_56,588.51,895.14
57,Village_57,626.48,382.58
58,Village_58,903.63,833.70
59,Village_59,260.19,962.24
60,Village_60,397.54,573.53
61,Village_61,258.17,821.75
62,Village_62,659.18,614.11
63,Village_63,488.20,361.47
64,Village_64,737.98,855.36
65,Village_65,339.75,758.03
66,Village_66,726.08,508.56
67,Village_67,775.41,376.09
68,Village_68,862.82,697.09
69,Village_69,160.13,800.06
70,Village_70,725.45,794.87
71,Village_71,823.24,850.28
72,Village_72,984.98,129.13
73,Village_73,614.09,542.87
74,Village_74,152.71,534.58
75,Village_75,548.99,328.56
76,Village_76,720.12,387.80
77,Village_77,15.25,102.90
78,Village_78,103.86,173.23
79,Village_79,897.63,418.86
80,Village_80,847.46,336.51
81,Village_81,423.20,52.41
82,Village_82,602.89,166.17
83,Village_83,482.23,572.75
84,Village_84,517.30,711.17
85,Village_85,676.39,851.11
86,Village_86,784.33,289.89
87,Village_87,369.49,505.34
88,Village_88,284.42,975.01
89,Village_89,571.90,122.53
90,Village_90,434.60,549.17
91,Village_91,576.74,727.54
92,Village_92,596.05,818.06
93,Village_93,883.76,372.83
94,Village_94,646.35,840.09
95,Village_95,96.86,913.31
96,Village_96,613.42,586.31
97,Village_97,161.06,999.70
98,Village_98,589.47,779.20
99,Village_99,517.48,74.71
100,Village_100,495.77,175.86
101,Village_101,497.33,689.07
102,Village_102,652.83,358.86
103,Village_103,550.88,767.12
104,Village_104,525.73,177.01
105,Village_105,712.60,547.21
106,Village_106,460.51,338.96
107,Village_107,41.00,797.57
108,Village_108,705.00,303.69
109,Village_109,639.45,565.82
110,Village_110,516.62,535.28
111,Village_111,264.00,158.65
112,Village_112,699.17,393.16
113,Village_113,454.67,267.98
114,Village_114,482.43,414.41
115,Village_115,588.73,160.82
116,Village_116,260.64,511.36
117,Village_117,247.62,632.40
118,Village_118,339.77,655.65
119,Village_119,813.47,985.51
120,Village_120,508.58,948.80
121,Village_121,267.03,643.68
122,Village_122,944.72,589.87
123,Village_123,745.53,132.01
124,Village_124,694.71,142.41
125,Village_125,537.39,66.37
126,Village_126,725.30,675.52
127,Village_127,839.87,480.54
128,Village_128,333.96,808.33
129,Village_129,786.51,290.25
130,Village_130,527.26,422.04
131,Village_131,963.34,944.26
132,Village_132,828.81,820.89
133,Village_133,875.49,344.75
134,Village_134,861.74,420.65
135,Village_135,600.87,932.88
136,Village_136,966.26,622.85
137,Village_137,172.69,429.90
138,Village_138,58.72,392.90
139,Village_139,69.99,100.47
140,Village_140,916.29,202.18
141,Village_141,562.99,561.70
142,Village_142,80.28,416.88
143,Village_143,560.14,100.26
144,Village_144,610.84,920.38
145,Village_145,33.71,179.43
146,Village_146,997.46,741.52
147,Village_147,63.19,318.89
148,Village_148,631.99,727.64
149,Village_149,28.75,812.56
